1 
2,y
3
4
5,Y
6
7
8,y
9
10,Y
11
12
13
14,y
15,y
16,y
17
19
20
21
22
23,y
24,y
25,y
26,y
27,y
28,y
29,y
30,y
31
32,y
33
34,y
35
36,y
37
38,y
39,y
40
41
42
43
44
45
46,y
47
48
49
50
51,y
52
53
54
55
56
57
58
59
60
